Smartv,#genre#
TVBS,http://ygbh.site/php/Smartv.php?id=tvbs
EYETV戏剧,http://ygbh.site/php/Smartv.php?id=eyetvxiju_twn
EYETV旅游,http://ygbh.site/php/Smartv.php?id=eyetvtravel_twn
TVBS欢乐,http://ygbh.site/php/Smartv.php?id=tvbshuanle_twn
Viu6,http://ygbh.site/php/Smartv.php?id=viusix_twn
国家地理,http://ygbh.site/php/Smartv.php?id=natgeohd_twn
野生动物,http://ygbh.site/php/Smartv.php?id=natgeowild_twn
Momo TV,http://ygbh.site/php/Smartv.php?id=momo1_twn
亚洲旅游,http://ygbh.site/php/Smartv.php?id=asiatravel_twn
AXNTaiwan,http://ygbh.site/php/Smartv.php?id=axn_twn
动物星球1,http://ygbh.site/php/Smartv.php?id=animalplanet_twn
CINEMAX,http://ygbh.site/php/Smartv.php?id=cinemax_twn
CNBC,http://ygbh.site/php/Smartv.php?id=cnbc_twn
DiscoveryAsia,http://ygbh.site/php/Smartv.php?id=discoverytwn_twn
DiscoveryHD,http://ygbh.site/php/Smartv.php?id=discoveryhd_twn
DiscoveryTurbo,http://ygbh.site/php/Smartv.php?id=discoveryturbo_twn
BBCEarthHD,http://ygbh.site/php/Smartv.php?id=bbcearth_twn
BBCWorldNews,http://ygbh.site/php/Smartv.php?id=bbcnews_twn
BloombergNews,http://ygbh.site/php/Smartv.php?id=bloomberg_twn
CBSHD,http://ygbh.site/php/Smartv.php?id=cbshd_glo
CBSNHD,http://ygbh.site/php/Smartv.php?id=cbsn_glo
ABCNews,http://ygbh.site/php/Smartv.php?id=abcnews_glo
BabyTV,http://ygbh.site/php/Smartv.php?id=babytv_twn
CBSNews,http://ygbh.site/php/Smartv.php?id=cbsn_glo
CNN,http://ygbh.site/php/Smartv.php?id=cnn_twn
DiscoveryAsia,http://ygbh.site/php/Smartv.php?id=discoverytwn_twn
ELEVEN体育1,http://ygbh.site/php/Smartv.php?id=golfchannel_twn
EYETV戏剧,http://ygbh.site/php/Smartv.php?id=eyetvxiju_twn
FoxNews,http://ygbh.site/php/Smartv.php?id=foxnews_twn
GOODTV真理,http://ygbh.site/php/Smartv.php?id=good2_twn
HBO家庭,http://ygbh.site/php/Smartv.php?id=fyi_twn
RTHK32,http://ygbh.site/php/Smartv.php?id=rhk32_twn
TVBS新闻,http://ygbh.site/php/Smartv.php?id=tvbs_n
TVBS欢乐,http://ygbh.site/php/Smartv.php?id=tvbshuanle_twn
WWE,http://ygbh.site/php/Smartv.php?id=wwe_twn
三立台湾,http://ygbh.site/php/Smartv.php?id=sanlitaiwan
三立戏剧,http://ygbh.site/php/Smartv.php?id=sanlixiju_twn
三立综合,http://ygbh.site/php/Smartv.php?id=sanlizhonghe
中天亚洲,http://ygbh.site/php/Smartv.php?id=ctiasia_twn
中天娱乐,http://ygbh.site/php/Smartv.php?id=ctient
中视新闻,http://ygbh.site/php/Smartv.php?id=zhongshinews_twn
中视新闻,http://ygbh.site/php/Smartv.php?id=zhongshinews_twn
中视经典,http://ygbh.site/php/Smartv.php?id=zhongshi_twn
亚洲旅游,http://ygbh.site/php/Smartv.php?id=asiatravel_twn
八大戏剧,http://ygbh.site/php/Smartv.php?id=badadrama
八大第一,http://ygbh.site/php/Smartv.php?id=badafirst
八大综合,http://ygbh.site/php/Smartv.php?id=badazhonghe
公视,http://ygbh.site/php/Smartv.php?id=ctv_taiwan
动物星球,http://ygbh.site/php/Smartv.php?id=animalplanet_twn
博斯网球,http://ygbh.site/php/Smartv.php?id=bositennis_twn
博斯运动2,http://ygbh.site/php/Smartv.php?id=bosisport2_twn
博斯高球1,http://ygbh.site/php/Smartv.php?id=bosigolf1_twn
博斯高球1,http://ygbh.site/php/Smartv.php?id=bosigolf1_twn
好莱坞电影,http://ygbh.site/php/Smartv.php?id=hollywoodmovies_twn
爱尔达体育1,http://ygbh.site/php/Smartv.php?id=eltasport2_twn
爱尔达体育2,http://ygbh.site/php/Smartv.php?id=eltasport2_twn
探索亚洲,http://ygbh.site/php/Smartv.php?id=discoverytwn_twn
探索动力,http://ygbh.site/php/Smartv.php?id=discoveryturbo_twn
星卫电影,http://ygbh.site/php/Smartv.php?id=xingwei_movie
时尚,http://ygbh.site/php/Smartv.php?id=fashiontv_twn
东森财经,http://ygbh.site/php/Smartv.php?id=ettvcaijing_twn
东森超视,http://ygbh.site/php/Smartv.php?id=ettvsuper
民视新闻,http://ygbh.site/php/Smartv.php?id=ftvnew_taiwan
美亚电影,http://ygbh.site/php/Smartv.php?id=meiyamovie_twn
靖天卡通,http://ygbh.site/php/Smartv.php?id=jingtiancartoon_twn
非凡新闻,http://ygbh.site/php/Smartv.php?id=feifannews_twn
龙华戏剧,http://ygbh.site/php/Smartv.php?id=lunghuaxiju_twn
Awani,http://ygbh.site/php/Smartv.php?id=Awani
BBC,http://ygbh.site/php/Smartv.php?id=bbc1_antik
BBC1,http://ygbh.site/php/Smartv.php?id=bbc1_antik
BBC2,http://ygbh.site/php/Smartv.php?id=bbc2_antik
BBC WORLD NEWS,http://ygbh.site/php/Smartv.php?id=bbcnews_twn
BTSports4,http://ygbh.site/php/Smartv.php?id=btespn
CNA亚洲新闻,http://ygbh.site/php/Smartv.php?id=cna
Euronews,http://ygbh.site/php/Smartv.php?id=euronews_antik
TLC旅游生活,http://ygbh.site/php/Smartv.php?id=tlc_twn
新加坡8,http://ygbh.site/php/Smartv.php?id=TV8
翡翠,http://ygbh.site/php/Smartv.php?id=jade_twn
翡翠,http://ygbh.site/php/Smartv.php?id=Wlt
